i,j,x,y
19,13,25.05931169489088,14.940686800430713
19,14,25.326628471702612,16.579565699765183
19,15,25.48084706929394,18.217729673848567
19,16,25.511025339356266,19.999998921446313
19,17,25.480847133264298,21.782268275332306
19,18,25.326628582957106,23.420432515154516
19,19,25.059311823342284,25.059311823342284
19,20,24.811106533213128,26.526683911542527
19,21,24.555098480502515,27.72828477753385
19,22,24.32709236096892,28.625809487038815
19,23,23.939192985791678,29.191450300180577
19,24,23.511234415883916,29.363291775690445
19,25,23.262046415187584,29.815397272401377
19,26,23.099402885477957,30.571236753634004
19,27,23.044142178858284,31.626455191809242
19,28,23.086719192388802,32.976513161002735
19,29,23.218643509519097,34.61550917652292
19,30,23.437811539555998,36.53971961071595
19,31,23.75,38.75
20,0,25.0,0.0
20,1,24.607451850870945,2.1952602983825247
20,2,24.312656514076217,4.155287197357502
20,3,24.107039596293774,5.880662225274686
20,4,23.9878097455954,7.370919103288392
20,5,23.957483460498423,8.624326363204519
20,6,24.022868956223355,9.638902200275254
20,7,24.19272784805406,10.414400061602112
20,8,24.479548712468123,10.957522386342317
20,9,24.96138938356834,11.317568578755408
20,10,25.547001962252292,11.679497056621562
20,11,25.803114183562364,12.563787944953996
20,12,26.228170329518075,13.771829096263255
20,13,26.526683831154408,15.188892605534665
20,14,26.79371687084065,16.766842111368497
20,15,26.94711664097425,18.306749694481653
20,16,26.969446613821493,19.999999277658844
20,17,26.94711668342724,21.69324894456264
20,18,26.79371694356289,23.2331567218364
20,19,26.526683911542527,24.81110653321313
20,20,26.228170392943653,26.228170392943653
20,21,25.803114218257186,27.43621183086882
20,22,25.547001962252292,28.320502943378436
20,23,24.96138938356834,28.682431421244594
20,24,24.486543050636733,29.059525033926466
20,25,24.21724832539276,29.650100545687707
20,26,24.0745016529089,30.501399980212888
20,27,24.0465105422653,31.619696985897342
20,28,24.126386940609354,33.00496890566676
20,29,24.31009660578526,34.65575350228467
20,30,24.598754142327785,36.570970960434444
20,31,25.0,38.75
21,0,26.25,0.0
21,1,25.78441912345079,2.1647967115235747
21,2,25.428210370737524,4.109419864937048
21,3,25.173554100410254,5.837516632817119
21,4,25.01604191548855,7.351296533687905
21,5,24.95678541693481,8.653132617027056
21,6,25.002417515941726,9.747370420427876
21,7,25.163718569370953,10.642591061511414
21,8,25.448275673994495,11.351277514032656
21,9,25.812381937190963,11.862665287932652
21,10,26.4018439966448,12.317787204026242
21,11,26.873082232885373,13.126917661871223
21,12,27.43621180400403,14.196885565393012
21,13,27.728284737751977,15.444901093295925
21,14,28.022870818786014,16.943919943050744
21,15,28.192498519128424,18.389122059250028
21,16,28.202449890512355,19.999999596935897
21,17,28.19249854228273,21.610877198485852
21,18,28.02287085740831,23.056079437284804
21,19,27.72828477753385,24.555098480502515
21,20,27.43621183086882,25.803114218257186
21,21,26.873082246990624,26.873082246990624
21,22,26.4018439966448,27.682212795973758
21,23,25.812381937190963,28.13733471206735
21,24,25.461648278099304,28.677368506976656
21,25,25.199534632784687,29.43681081479144
21,26,25.070769665753083,30.406637358064454
21,27,25.069463295661457,31.600343503100312
21,28,25.187296427640575,33.0271959727566
21,29,25.420905348338145,34.692183660473184
21,30,25.772942204440366,36.59850071165757
21,31,26.25,38.75
22,0,27.5,0.0
22,1,26.956136810066376,2.1226279587480685
22,2,26.542063422499396,4.045045039279141
22,3,26.238517319092185,5.770349999754142
22,4,26.036042814341407,7.301784405985683
22,5,25.931664714999684,8.643478336458958
22,6,25.92733630042687,9.801666764868767
22,7,26.028209006852222,10.786197960093686
22,8,26.239912120003236,11.611974465574146
22,9,26.568454209494394,12.302519915857582
22,10,27.071067811865476,12.928932188134524
22,11,27.682212795973758,13.5981560033552
22,12,28.320502943378436,14.452998037747708
22,13,28.62580947566625,15.672907517193034
22,14,28.983245331521548,17.110927856681762
22,15,29.193002081111832,18.47533017812723
22,16,29.173526624526417,19.99999983745722
22,17,29.193002089645873,21.524669548297815
22,18,28.983245345035737,22.889071926496197
22,19,28.625809487038815,24.327092360968926
22,20,28.320502943378436,25.547001962252292
22,21,27.682212795973758,26.4018439966448
22,22,27.071067811865476,27.071067811865476
